delivery_id,order_id,delivery_status,delivery_time,rider_id
1,7440,Returned,20:58:33,26
2,310,In Transit,14:35:27,7
3,6892,Picked Up,16:39:57,10
4,5846,Cancelled,18:58:04,5
5,4193,Failed,14:03:39,33
6,4514,Cancelled,19:27:09,18
7,568,Cancelled,16:50:42,48
8,8080,Delivered,16:31:22,16
9,5701,Picked Up,13:05:13,49
10,5091,Returned,11:25:27,15
11,2950,Returned,11:56:22,33
12,9381,Delivered,21:45:09,34
13,5763,Delivered,11:16:57,29
14,7904,Picked Up,14:54:03,13
15,2040,Picked Up,13:04:35,2
16,696,Delivered,13:50:30,47
17,6737,Delivered,14:01:51,50
18,8191,In Transit,20:36:36,29
19,5637,Returned,18:47:17,6
20,8651,In Transit,17:57:58,18
21,2993,In Transit,22:25:48,2
22,6319,Failed,10:27:31,19
23,2598,Delivered,20:54:32,24
24,4314,Returned,22:58:22,41
25,6272,Failed,21:55:19,13
26,4033,Cancelled,17:26:22,25
27,6600,In Transit,22:51:52,26
28,9611,Returned,15:23:59,37
29,4154,In Transit,17:59:38,43
30,6863,Returned,19:17:35,17
31,2726,Picked Up,21:52:55,12
32,1587,In Transit,13:07:48,5
33,2150,Cancelled,11:44:26,1
34,7194,Cancelled,15:08:47,37
35,7915,In Transit,22:52:44,38
36,8659,Cancelled,15:27:38,47
37,2862,Cancelled,10:33:58,24
38,2341,Delivered,18:39:20,7
39,6669,Cancelled,18:35:50,29
40,9081,Returned,13:17:56,10
41,3777,Failed,10:40:56,9
42,7533,Delivered,10:58:33,42
43,1144,Picked Up,10:00:16,9
44,4551,Failed,14:08:46,1
45,9650,Picked Up,16:09:49,26
46,5554,Failed,13:47:19,40
47,3807,Cancelled,23:03:52,18
48,3797,Failed,20:17:25,20
49,2689,In Transit,22:47:58,8
50,1248,Delivered,19:54:47,21
51,624,In Transit,10:00:41,1
52,1966,Failed,11:19:54,10
53,1238,Failed,23:00:44,43
54,8274,In Transit,15:51:49,13
55,336,Delivered,18:10:02,8
56,9290,Cancelled,17:04:30,28
57,6862,Picked Up,19:31:36,12
58,9353,Failed,17:14:57,45
59,8649,Cancelled,21:58:07,28
60,9657,Returned,21:42:44,30
61,6087,In Transit,13:09:59,9
62,3238,Picked Up,17:21:25,45
63,1533,Cancelled,19:38:55,40
64,1143,Cancelled,18:03:56,11
65,6342,In Transit,17:28:15,4
66,7370,In Transit,13:06:08,15
67,699,Delivered,19:09:07,44
68,5536,Cancelled,11:30:41,23
69,1581,Failed,17:22:59,20
70,7549,Cancelled,13:06:05,5
71,3849,Cancelled,22:54:39,4
72,7150,Returned,18:31:09,48
73,270,Failed,16:41:17,48
74,9170,In Transit,15:21:29,5
75,2474,Failed,19:15:41,5
76,3070,Delivered,22:33:03,46
77,4251,Failed,21:46:31,33
78,9797,Delivered,18:58:44,20
79,9854,Returned,22:55:08,16
80,4231,In Transit,19:23:41,9
81,4245,Failed,22:51:24,13
82,684,Returned,22:37:10,26
83,8973,Failed,21:54:23,50
84,6591,Picked Up,22:47:00,36
85,9439,Cancelled,23:49:42,19
86,2262,Cancelled,17:52:49,32
87,3053,Failed,15:42:06,30
88,8583,In Transit,11:43:48,14
89,2713,Returned,15:48:35,21
90,5511,In Transit,15:58:54,48
91,3606,In Transit,17:12:25,33
92,8826,Returned,17:19:16,49
93,7088,Returned,16:01:48,15
94,1255,Delivered,19:51:51,3
95,1673,Failed,16:46:22,40
96,3098,Returned,16:19:53,41
97,4559,Cancelled,11:31:56,39
98,355,Picked Up,12:36:25,35
99,5577,Delivered,15:28:01,40
100,3315,Picked Up,11:23:31,31
101,6753,Picked Up,11:12:00,4
102,1639,Returned,18:19:05,16
103,8990,Cancelled,16:12:35,42
104,9746,Picked Up,23:20:50,2
105,6032,In Transit,18:49:51,2
106,567,Cancelled,17:04:30,37
107,3141,In Transit,15:49:49,34
108,4422,Failed,15:26:14,22
109,463,In Transit,23:53:57,43
110,6087,Delivered,23:27:45,8
111,3203,Failed,20:32:08,14
112,5126,In Transit,11:59:27,20
113,6710,Failed,22:53:08,10
114,3186,In Transit,13:19:45,33
115,7699,Delivered,22:36:56,19
116,1239,In Transit,21:48:36,48
117,3690,In Transit,18:04:46,37
118,1343,Delivered,14:24:59,37
119,4987,Cancelled,11:49:34,30
120,5455,Delivered,20:13:24,47
121,770,In Transit,10:47:22,46
122,6639,In Transit,22:10:53,11
123,3700,Returned,20:18:06,31
124,3206,Picked Up,22:39:24,30
125,8480,Cancelled,17:58:36,34
126,8485,In Transit,21:49:26,40
127,8514,Cancelled,18:49:17,46
128,3754,Returned,15:11:10,15
129,9717,In Transit,18:29:43,6
130,8022,Returned,18:15:58,27
131,499,In Transit,10:53:54,49
132,6214,Delivered,19:04:32,12
133,3114,Failed,10:28:47,1
134,7973,Delivered,20:00:41,17
135,1479,Cancelled,22:08:01,46
136,4138,Picked Up,14:36:18,8
137,2965,Picked Up,14:08:42,5
138,8006,Delivered,10:30:34,17
139,3191,Cancelled,13:07:11,41
140,9559,Returned,22:54:50,16
141,5441,Returned,20:13:48,29
142,8971,In Transit,17:37:33,7
143,3767,Picked Up,11:22:48,15
144,1919,Cancelled,21:55:02,31
145,6062,Failed,10:34:13,11
146,575,In Transit,14:21:03,14
147,6054,In Transit,14:39:43,29
148,1785,Returned,23:22:22,12
149,1231,Picked Up,13:57:28,26
150,7182,Failed,19:29:08,36
151,6847,Delivered,21:32:46,2
152,3882,In Transit,13:43:19,36
153,3200,Picked Up,11:27:42,21
154,4792,Cancelled,16:42:04,29
155,3805,Picked Up,20:49:00,18
156,4991,Returned,20:45:25,28
157,9955,Failed,19:11:41,48
158,7552,Returned,16:37:02,4
159,3754,Delivered,13:21:19,3
160,5098,Cancelled,15:37:53,11
161,2450,Cancelled,10:35:28,13
162,1678,Failed,10:26:39,37
163,5404,Failed,13:48:17,19
164,9146,In Transit,12:45:18,50
165,326,Cancelled,19:29:14,13
166,1130,Cancelled,10:04:42,27
167,4859,Failed,16:58:38,32
168,6988,In Transit,14:46:36,23
169,8009,Returned,12:22:06,36
170,6231,In Transit,10:07:55,50
171,9794,Cancelled,19:21:16,17
172,4333,Delivered,19:50:51,31
173,8934,In Transit,12:55:13,9
174,9998,Picked Up,11:23:33,49
175,3855,Picked Up,12:38:32,18
176,5050,Returned,20:52:39,34
177,5010,Delivered,21:11:07,10
178,1824,Picked Up,10:36:48,23
179,5636,Picked Up,10:17:34,25
180,44,Cancelled,12:36:45,13
181,4429,Delivered,10:20:19,3
182,3145,Failed,18:36:27,40
183,6487,Picked Up,19:57:56,38
184,8097,Returned,23:37:43,15
185,6228,In Transit,15:36:45,39
186,1304,Failed,11:28:23,11
187,6805,Cancelled,10:48:19,2
188,2327,In Transit,15:41:33,3
189,3413,Delivered,10:49:02,1
190,4672,Failed,18:37:30,24
191,1344,Cancelled,15:57:15,47
192,5866,Cancelled,10:43:40,6
193,910,Delivered,19:03:59,28
194,8053,Returned,11:25:17,15
195,4254,Cancelled,21:52:27,6
196,4804,Picked Up,10:17:05,23
197,9610,Picked Up,18:28:28,10
198,1694,Cancelled,19:52:02,43
199,4787,In Transit,22:19:59,34
200,639,Cancelled,20:49:40,12
201,6700,Delivered,16:06:56,29
202,583,In Transit,10:12:09,44
203,144,Cancelled,23:13:45,24
204,8993,Returned,19:57:09,30
205,9140,Failed,12:39:25,41
206,6860,Returned,21:46:05,5
207,2437,Delivered,15:01:29,21
208,682,Delivered,14:38:51,28
209,9735,Failed,12:38:44,5
210,9985,Failed,19:23:22,38
211,7509,In Transit,16:45:25,13
212,9788,Cancelled,21:07:02,18
213,4429,In Transit,12:15:09,10
214,6033,Returned,19:22:33,35
215,6067,In Transit,18:45:20,49
216,6234,Returned,20:19:42,35
217,375,Failed,17:42:03,35
218,5929,In Transit,16:10:32,1
219,7173,Picked Up,22:46:38,2
220,6357,Picked Up,11:18:48,24
221,7604,Cancelled,19:36:20,48
222,7631,Returned,20:17:43,4
223,6321,In Transit,23:10:41,14
224,4352,In Transit,22:14:49,29
225,3439,Returned,22:54:46,26
226,2741,Delivered,22:47:31,49
227,1324,Picked Up,15:36:57,39
228,5302,In Transit,19:12:42,24
229,7151,Cancelled,20:21:22,19
