order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
1,12,25,Litti Chokha,13/11/24,18:25:20,Confirmed,1074.93
2,29,29,Mango Lassi,10/03/24,10:07:33,Preparing,1291.68
3,17,147,Hyderabadi Biryani,05/01/25,21:01:02,Confirmed,1409.69
4,33,139,Paneer Tikka,26/08/24,19:39:36,Delivered,526.29
5,17,59,Biryani,13/01/25,12:43:39,Confirmed,1489.03
6,48,128,Samosa,10/06/24,22:01:07,Confirmed,680.76
7,34,72,Kolkata Roll,09/11/24,16:03:20,Cancelled,409.79
8,19,140,Pav Bhaji,03/06/24,18:56:43,Out for Delivery,298.55
9,21,40,Dosa,10/08/24,14:10:56,Delivered,1390.95
10,29,63,Pesarattu,22/07/24,20:44:03,Confirmed,239.96
11,29,93,Paneer Tikka,15/11/24,15:05:23,Confirmed,853.43
12,5,28,Baingan Bharta,04/03/24,13:57:44,Preparing,1631.34
13,35,117,Egg Curry,15/06/24,20:44:36,Cancelled,775.42
14,17,81,Mango Lassi,20/01/25,13:28:37,Delivered,687.63
15,38,73,Tandoori Chicken,20/01/25,17:26:57,Out for Delivery,1479.92
16,29,30,Gulab Jamun,28/11/24,18:03:31,Delivered,159.51
17,36,95,Chole Bhature,08/02/25,20:09:17,Confirmed,1359.96
18,32,122,Pesarattu,27/11/24,17:38:20,Delivered,1185.46
19,4,59,Tandoori Roti,08/08/24,18:08:26,Pending,1251.15
20,46,93,Tandoori Roti,23/05/24,15:30:58,Delivered,508.78
21,34,57,Kolkata Roll,14/11/24,12:11:12,Cancelled,305.56
22,29,46,Jalebi,30/04/24,15:56:43,Cancelled,1444.07
23,24,35,Litti Chokha,02/04/24,22:57:55,Preparing,1826.36
24,30,59,Hyderabadi Biryani,24/12/24,21:05:30,Out for Delivery,1771.16
25,21,91,Dal Makhani,08/02/25,15:53:54,Cancelled,792.21
26,43,28,Misal Pav,07/02/25,10:07:33,Out for Delivery,833.58
27,7,37,Aloo Paratha,01/06/24,14:14:28,Out for Delivery,1928.4
28,3,107,Misal Pav,10/07/24,16:13:33,Preparing,1270.8
29,39,105,Gajar Ka Halwa,20/02/24,22:54:50,Pending,1511.15
30,26,22,Hyderabadi Biryani,20/07/24,18:31:45,Out for Delivery,1271.65
31,39,138,Bombay Sandwich,19/12/24,12:56:40,Cancelled,1485.63
